Curso;Dia;Dia semana;Tipo
dic-13;10/09/2012;L;
dic-13;11/09/2012;M;
dic-13;12/09/2012;X;
dic-13;13/09/2012;J;
dic-13;14/09/2012;V;
;15/09/2012;S;FDS
;16/09/2012;D;FDS
dic-13;17/09/2012;L;
dic-13;18/09/2012;M;
dic-13;19/09/2012;X;
dic-13;20/09/2012;J;
dic-13;21/09/2012;V;
;22/09/2012;S;FDS
;23/09/2012;D;FDS
dic-13;24/09/2012;L;
dic-13;25/09/2012;M;
dic-13;26/09/2012;X;
dic-13;27/09/2012;J;
dic-13;28/09/2012;V;
;29/09/2012;S;FDS
;30/09/2012;D;FDS
dic-13;01/10/2012;L;
dic-13;02/10/2012;M;
dic-13;03/10/2012;X;
dic-13;04/10/2012;J;
dic-13;05/10/2012;V;
;06/10/2012;S;FDS
;07/10/2012;D;FDS
dic-13;08/10/2012;L;
dic-13;09/10/2012;M;
dic-13;10/10/2012;X;
dic-13;11/10/2012;J;
;12/10/2012;V;FEST
;13/10/2012;S;FDS
;14/10/2012;D;FDS
dic-13;15/10/2012;L;
dic-13;16/10/2012;M;
dic-13;17/10/2012;X;
dic-13;18/10/2012;J;
dic-13;19/10/2012;V;
;20/10/2012;S;FDS
;21/10/2012;D;FDS
dic-13;22/10/2012;L;
dic-13;23/10/2012;M;
dic-13;24/10/2012;X;
dic-13;25/10/2012;J;
dic-13;26/10/2012;V;
;27/10/2012;S;FDS
;28/10/2012;D;FDS
dic-13;29/10/2012;L;
dic-13;30/10/2012;M;
dic-13;31/10/2012;X;
;01/11/2012;J;FEST
;02/11/2012;V;NL
;03/11/2012;S;FDS
;04/11/2012;D;FDS
dic-13;05/11/2012;L;
dic-13;06/11/2012;M;
dic-13;07/11/2012;X;
dic-13;08/11/2012;J;
dic-13;09/11/2012;V;
;10/11/2012;S;FDS
;11/11/2012;D;FDS
dic-13;12/11/2012;L;
dic-13;13/11/2012;M;
dic-13;14/11/2012;X;
dic-13;15/11/2012;J;
dic-13;16/11/2012;V;
;17/11/2012;S;FDS
;18/11/2012;D;FDS
dic-13;19/11/2012;L;
dic-13;20/11/2012;M;
dic-13;21/11/2012;X;
dic-13;22/11/2012;J;
dic-13;23/11/2012;V;
;24/11/2012;S;FDS
;25/11/2012;D;FDS
dic-13;26/11/2012;L;
dic-13;27/11/2012;M;
dic-13;28/11/2012;X;
dic-13;29/11/2012;J;
dic-13;30/11/2012;V;
;01/12/2012;S;FDS
;02/12/2012;D;FDS
dic-13;03/12/2012;L;
dic-13;04/12/2012;M;
dic-13;05/12/2012;X;
;06/12/2012;J;FEST
;07/12/2012;V;NL
;08/12/2012;S;FDS
;09/12/2012;D;FDS
dic-13;10/12/2012;L;
dic-13;11/12/2012;M;
dic-13;12/12/2012;X;
dic-13;13/12/2012;J;
dic-13;14/12/2012;V;
;15/12/2012;S;FDS
;16/12/2012;D;FDS
dic-13;17/12/2012;L;
dic-13;18/12/2012;M;
dic-13;19/12/2012;X;
dic-13;20/12/2012;J;
dic-13;21/12/2012;V;VISP VAC
;22/12/2012;S;FDS
;23/12/2012;D;FDS
;24/12/2012;L;VAC
;25/12/2012;M;VAC
;26/12/2012;X;VAC
;27/12/2012;J;VAC
;28/12/2012;V;VAC
;29/12/2012;S;FDS
;30/12/2012;D;FDS
;31/12/2012;L;VAC
;01/01/2013;M;VAC
;02/01/2013;X;VAC
;03/01/2013;J;VAC
;04/01/2013;V;VAC
;05/01/2013;S;FDS
;06/01/2013;D;FDS
;07/01/2013;L;VAC
dic-13;08/01/2013;M;VUELTA VAC
dic-13;09/01/2013;X;
dic-13;10/01/2013;J;
dic-13;11/01/2013;V;
;12/01/2013;S;FDS
;13/01/2013;D;FDS
dic-13;14/01/2013;L;
dic-13;15/01/2013;M;
dic-13;16/01/2013;X;
dic-13;17/01/2013;J;
dic-13;18/01/2013;V;
;19/01/2013;S;FDS
;20/01/2013;D;FDS
dic-13;21/01/2013;L;
dic-13;22/01/2013;M;
dic-13;23/01/2013;X;
dic-13;24/01/2013;J;
dic-13;25/01/2013;V;
;26/01/2013;S;FDS
;27/01/2013;D;FDS
;28/01/2013;L;NL
dic-13;29/01/2013;M;
dic-13;30/01/2013;X;
dic-13;31/01/2013;J;
dic-13;01/02/2013;V;
;02/02/2013;S;FDS
;03/02/2013;D;FDS
dic-13;04/02/2013;L;
dic-13;05/02/2013;M;
dic-13;06/02/2013;X;
dic-13;07/02/2013;J;
dic-13;08/02/2013;V;
;09/02/2013;S;FDS
;10/02/2013;D;FDS
dic-13;11/02/2013;L;
dic-13;12/02/2013;M;
dic-13;13/02/2013;X;
dic-13;14/02/2013;J;
dic-13;15/02/2013;V;
;16/02/2013;S;FDS
;17/02/2013;D;FDS
dic-13;18/02/2013;L;
dic-13;19/02/2013;M;
dic-13;20/02/2013;X;
dic-13;21/02/2013;J;
